,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,uci_name,continent,name,country,latitude,longitude,Continent
2873,2008-06-04,2008-06-08,Ringerike GP,NORWAY,ME,2.2,2008,5.0,NORWAY,EUROPE,Norway,NO,60.472024,8.468946,Europe
2874,2008-06-04,2008-06-08,Skoda-Tour de Luxembourg,LUXEMBOURG,ME,2.HC,2008,5.0,LUXEMBOURG,EUROPE,Luxembourg,LU,49.815273,6.129583,Europe
2875,2008-06-05,2008-06-08,Coupe des nations Ville Saguenay,CANADA,MU,2.Ncup,2008,4.0,CANADA,AMERICAS,Canada,CA,56.130366,-106.346771,Americas
2876,2008-06-06,2008-06-08,Euskal Bizikleta,SPAIN,ME,2.HC,2008,3.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2877,2008-06-08,2008-06-08,GP Dell'Arno,ITALY,MJ,1.1,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2878,2008-06-08,2008-06-08,Commerce Bank Liberty Classic,UNITED STATES OF AMERICA,WE,1.1,2008,1.0,UNITED STATES OF AMERICA,AMERICAS,United States,US,37.09024,-95.712891,Americas
2879,2008-06-08,2008-06-08,GP du canton d'Argovie,SWITZERLAND,ME,1.HC,2008,1.0,SWITZERLAND,EUROPE,Switzerland,CH,46.818188,8.227512,Europe
2880,2008-06-08,2008-06-08,Therme kasseienomloop,NETHERLANDS,WE,1.2,2008,1.0,NETHERLANDS,EUROPE,Netherlands,NL,52.132633,5.291266,Europe
2881,2008-06-08,2008-06-08,Coppa Colli Briantei Internazionale,ITALY,ME,1.2,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2882,2008-06-08,2008-06-08,Commerce Bank International Championship,UNITED STATES OF AMERICA,ME,1.HC,2008,1.0,UNITED STATES OF AMERICA,AMERICAS,United States,US,37.09024,-95.712891,Americas
2883,2008-06-08,2008-06-08,Tr. Città di San Vendemiano - GP Industria e Commercio,ITALY,MU,1.2U,2008,1.0,ITALY,EUROPE,Italy,IT,41.87194,12.56738,Europe
2884,2008-06-08,2008-06-08,Memorial Ph. Van Coningsloo,BELGIUM,ME,1.2,2008,1.0,BELGIUM,EUROPE,Belgium,BE,50.503887,4.469936,Europe
2885,2008-06-11,2008-06-11,Dutch Food Valley Classic,NETHERLANDS,ME,1.HC,2008,1.0,NETHERLANDS,EUROPE,Netherlands,NL,52.132633,5.291266,Europe
2886,2008-06-08,2008-06-12,Tour de Pei,CANADA,WE,2.2,2008,5.0,CANADA,AMERICAS,Canada,CA,56.130366,-106.346771,Americas
2887,2008-06-07,2008-06-14,Romanian Cycling Tour,ROMANIA,ME,2.2,2008,8.0,ROMANIA,EUROPE,Romania,RO,45.943161,24.96676,Europe
2888,2008-06-10,2008-06-14,Tour de Slovénie,SLOVENIA,ME,2.1,2008,5.0,SLOVENIA,EUROPE,Slovenia,SI,46.151241,14.995463,Europe
2889,2008-06-08,2008-06-15,Critérium du Dauphiné Libéré,FRANCE,ME,2.UWT,2008,8.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
