,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,Continent
2847,2019-09-22,2019-09-22,Grand Prix d'Isbergues - Pas de Calais,FRANCE,ME,1.1,2019,1.0,Europe
2848,2019-09-22,2019-09-22,Gooikse Pijl,BELGIUM,ME,1.1,2019,1.0,Europe
2849,2019-09-24,2019-09-24,Ruota d'Oro - GP Festa del Perdono,ITALY,MU,1.2U,2019,1.0,Europe
2850,2019-09-25,2019-09-25,Omloop van het Houtland Lichtervelde,BELGIUM,ME,1.1,2019,1.0,Europe
2851,2019-09-25,2019-09-28,International Tour de Banyuwangi Ijen,INDONESIA,ME,2.2,2019,4.0,Asia
2853,2019-09-27,2019-09-29,Konya Tour of Mevlana,TURKEY,ME,2.2,2019,3.0,Asia
2854,2019-09-29,2019-09-29,Paris-Chauny (classique),FRANCE,ME,1.1,2019,1.0,Europe
2855,2019-10-03,2019-10-03,Sparkassen Münsterland Giro,GERMANY,ME,1.HC,2019,1.0,Europe
2856,2019-10-05,2019-10-05,Giro dell'Emilia Internazionale Donne Elite,ITALY,WE,1.1,2019,1.0,Europe
2857,2019-10-05,2019-10-05,Giro dell'Emilia,ITALY,ME,1.HC,2019,1.0,Europe
2858,2019-10-05,2019-10-05,Tour de l'Eurométropole,BELGIUM,ME,1.HC,2019,1.0,Europe
2859,2019-10-01,2019-10-06,Cro Race,CROATIA,ME,2.1,2019,6.0,Europe
2860,2019-10-02,2019-10-06,Tour of Iran (Azarbaijan),ISLAMIC REPUBLIC OF IRAN,ME,2.1,2019,5.0,Asia
2861,2019-10-06,2019-10-06,Tour de Vendée,FRANCE,ME,1.1,2019,1.0,Europe
2862,2019-10-06,2019-10-06,91° Il Piccolo Lombardia,ITALY,MU,1.2U,2019,1.0,Europe
2863,2019-10-06,2019-10-06,Gran Premio Bruno Beghelli  Internazionale Donne Elite,ITALY,WE,1.1,2019,1.0,Europe
2864,2019-10-06,2019-10-06,La DH Famenne Ardenne Classic,BELGIUM,ME,1.1,2019,1.0,Europe
2865,2019-10-06,2019-10-06,Gran Premio Bruno Beghelli,ITALY,ME,1.HC,2019,1.0,Europe
2866,2019-10-08,2019-10-08,Tre Valli Varesine,ITALY,ME,1.HC,2019,1.0,Europe
2867,2019-10-08,2019-10-08,Binche -  Chimay - Binche / Mémorial Frank Vandenbroucke,BELGIUM,ME,1.1,2019,1.0,Europe
2868,2019-10-09,2019-10-09,Milano-Torino,ITALY,ME,1.HC,2019,1.0,Europe
2869,2019-10-10,2019-10-10,Paris-Bourges,FRANCE,ME,1.1,2019,1.0,Europe
2870,2019-10-10,2019-10-10,Gran Piemonte,ITALY,ME,1.HC,2019,1.0,Europe
2871,2019-10-05,2019-10-12,Vuelta al Ecuador,ECUADOR,ME,2.2,2019,8.0,Americas
2872,2019-10-12,2019-10-12,Il Lombardia,ITALY,ME,1.UWT,2019,1.0,Europe
2873,2019-10-12,2019-10-12,Tacx Pro Classic / Ronde van Zeeland,NETHERLANDS,ME,1.1,2019,1.0,Europe
2874,2019-10-12,2019-10-12,Fatih Sultan Mehmet Edirne Race,TURKEY,ME,1.2,2019,1.0,Asia
2876,2019-10-13,2019-10-13,Fatih Sultan Mehmet Kirklareli Race,TURKEY,ME,1.2,2019,1.0,Asia
2877,2019-10-13,2019-10-13,Paris - Tours Elite,FRANCE,ME,1.HC,2019,1.0,Europe
