2.1,ME,2006,4.604651162790698
2.1,ME,2007,4.568181818181818
2.1,ME,2008,4.666666666666667
2.1,ME,2009,4.7073170731707314
2.1,ME,2010,4.842105263157895
2.1,ME,2011,4.82051282051282
2.1,ME,2012,4.594594594594595
2.1,ME,2013,4.82051282051282
2.1,ME,2014,5.0
2.1,ME,2015,4.853658536585366
2.1,ME,2016,4.809523809523809
2.1,ME,2017,4.829787234042553
2.1,ME,2018,4.74468085106383
2.1,ME,2019,4.784313725490196
2.1,MJ,2006,3.8461538461538463
2.1,MJ,2007,3.7333333333333334
2.1,MJ,2008,3.6818181818181817
2.1,MJ,2009,3.6666666666666665
2.1,MJ,2010,3.5217391304347827
2.1,MJ,2011,3.4210526315789473
2.1,MJ,2012,3.526315789473684
2.1,MJ,2013,3.5625
2.1,MJ,2014,3.076923076923077
2.1,MJ,2015,3.0833333333333335
2.1,MJ,2016,3.066666666666667
2.1,MJ,2017,3.2666666666666666
2.1,MJ,2018,3.125
2.1,MJ,2019,3.0
2.1,WE,2006,5.8
2.1,WE,2007,5.888888888888889
2.1,WE,2008,5.714285714285714
2.1,WE,2009,5.5
2.1,WE,2010,5.777777777777778
2.1,WE,2011,5.25
2.1,WE,2012,5.076923076923077
2.1,WE,2013,5.1
2.1,WE,2014,5.5
2.1,WE,2015,5.3
2.1,WE,2016,4.8
2.1,WE,2017,4.333333333333333
2.1,WE,2018,4.222222222222222
2.1,WE,2019,3.923076923076923
2.1,WJ,2008,3.0
2.1,WJ,2013,3.0
2.1,WJ,2018,3.0
2.2,ME,2006,6.651162790697675
2.2,ME,2007,6.572916666666667
2.2,ME,2008,6.391752577319588
2.2,ME,2009,6.134020618556701
2.2,ME,2010,6.071428571428571
2.2,ME,2011,5.785714285714286
2.2,ME,2012,5.9879518072289155
2.2,ME,2013,5.5131578947368425
2.2,ME,2014,5.481481481481482
2.2,ME,2015,5.068181818181818
2.2,ME,2016,5.142857142857143
2.2,ME,2017,5.118421052631579
2.2,ME,2018,5.064102564102564
2.2,ME,2019,4.88
2.2,WE,2006,4.214285714285714
2.2,WE,2007,4.5
2.2,WE,2008,4.55
2.2,WE,2009,4.153846153846154
2.2,WE,2010,4.625
2.2,WE,2011,4.3
2.2,WE,2012,4.076923076923077
2.2,WE,2013,4.3076923076923075
2.2,WE,2014,4.0
2.2,WE,2015,4.0
2.2,WE,2016,3.65
2.2,WE,2017,4.333333333333333
2.2,WE,2018,3.857142857142857
2.2,WE,2019,3.375
2.HC,ME,2006,6.0625
2.HC,ME,2007,6.125
2.HC,ME,2008,6.25
2.HC,ME,2009,6.266666666666667
2.HC,ME,2010,5.933333333333334
2.HC,ME,2011,5.882352941176471
2.HC,ME,2012,6.2
2.HC,ME,2013,6.315789473684211
2.HC,ME,2014,6.454545454545454
2.HC,ME,2015,6.125
2.HC,ME,2016,5.714285714285714
2.HC,ME,2017,5.95
2.HC,ME,2018,5.9523809523809526
2.HC,ME,2019,6.05
2.HC,MJ,2006,3.5454545454545454
2.HC,MJ,2007,3.7
2.HC,WE,2013,5.0
2.UWT,ME,2006,10.615384615384615
2.UWT,ME,2007,10.615384615384615
2.UWT,ME,2008,7.333333333333333
2.UWT,ME,2009,10.384615384615385
2.UWT,ME,2010,10.384615384615385
2.UWT,ME,2011,9.928571428571429
2.UWT,ME,2012,9.928571428571429
2.UWT,ME,2013,10.0
2.UWT,ME,2014,9.928571428571429
2.UWT,ME,2015,10.307692307692308
2.UWT,ME,2016,10.307692307692308
2.UWT,ME,2017,9.235294117647058
2.UWT,ME,2018,9.294117647058824
2.UWT,ME,2019,9.411764705882353
2.WWT,WE,2016,5.5
2.WWT,WE,2017,5.333333333333333
2.WWT,WE,2018,4.5
2.WWT,WE,2019,4.75
