Road,ME,2010.0,SPAIN,17
Road,ME,2010.0,ITALY,13
Road,ME,2010.0,BELGIUM,8
Road,ME,2010.0,FRANCE,7
Road,ME,2010.0,UNITED STATES OF AMERICA,7
Road,ME,2010.0,AUSTRALIA,7
Road,ME,2010.0,GERMANY,4
Road,ME,2010.0,NETHERLANDS,4
Road,ME,2010.0,SLOVENIA,3
Road,ME,2010.0,SWITZERLAND,3
Road,ME,2011.0,ITALY,14
Road,ME,2011.0,BELGIUM,12
Road,ME,2011.0,SPAIN,12
Road,ME,2011.0,NETHERLANDS,10
Road,ME,2011.0,GREAT BRITAIN,7
Road,ME,2011.0,UNITED STATES OF AMERICA,6
Road,ME,2011.0,GERMANY,5
Road,ME,2011.0,AUSTRALIA,5
Road,ME,2011.0,SWITZERLAND,4
Road,ME,2011.0,FRANCE,4
Road,ME,2012.0,ITALY,17
Road,ME,2012.0,SPAIN,15
Road,ME,2012.0,BELGIUM,10
Road,ME,2012.0,NETHERLANDS,7
Road,ME,2012.0,AUSTRALIA,7
Road,ME,2012.0,FRANCE,6
Road,ME,2012.0,GERMANY,4
Road,ME,2012.0,UNITED STATES OF AMERICA,4
Road,ME,2012.0,GREAT BRITAIN,4
Road,ME,2012.0,NORWAY,2
Road,ME,2013.0,ITALY,15
Road,ME,2013.0,SPAIN,13
Road,ME,2013.0,FRANCE,10
Road,ME,2013.0,BELGIUM,9
Road,ME,2013.0,NETHERLANDS,8
Road,ME,2013.0,UNITED STATES OF AMERICA,5
Road,ME,2013.0,GERMANY,5
Road,ME,2013.0,GREAT BRITAIN,5
Road,ME,2013.0,AUSTRALIA,5
Road,ME,2013.0,COLOMBIA,4
Road,ME,2014.0,FRANCE,13
Road,ME,2014.0,SPAIN,11
Road,ME,2014.0,ITALY,10
Road,ME,2014.0,NETHERLANDS,9
Road,ME,2014.0,BELGIUM,8
Road,ME,2014.0,AUSTRALIA,6
Road,ME,2014.0,COLOMBIA,5
Road,ME,2014.0,GERMANY,5
Road,ME,2014.0,GREAT BRITAIN,5
Road,ME,2014.0,SWITZERLAND,3
Road,ME,2015.0,BELGIUM,18
Road,ME,2015.0,ITALY,16
Road,ME,2015.0,SPAIN,9
Road,ME,2015.0,NETHERLANDS,9
Road,ME,2015.0,FRANCE,7
Road,ME,2015.0,GREAT BRITAIN,5
Road,ME,2015.0,COLOMBIA,4
Road,ME,2015.0,AUSTRALIA,4
Road,ME,2015.0,CZECH REPUBLIC,3
Road,ME,2015.0,POLAND,3
Road,ME,2016.0,ITALY,14
Road,ME,2016.0,BELGIUM,14
Road,ME,2016.0,FRANCE,12
Road,ME,2016.0,SPAIN,8
Road,ME,2016.0,COLOMBIA,8
Road,ME,2016.0,NETHERLANDS,7
Road,ME,2016.0,GREAT BRITAIN,6
Road,ME,2016.0,AUSTRALIA,5
Road,ME,2016.0,SWITZERLAND,3
Road,ME,2016.0,DENMARK,3
Road,ME,2017.0,ITALY,15
Road,ME,2017.0,BELGIUM,14
Road,ME,2017.0,FRANCE,13
Road,ME,2017.0,NETHERLANDS,8
Road,ME,2017.0,SPAIN,7
Road,ME,2017.0,COLOMBIA,7
Road,ME,2017.0,AUSTRALIA,6
Road,ME,2017.0,GREAT BRITAIN,4
Road,ME,2017.0,GERMANY,3
Road,ME,2017.0,IRELAND,3
Road,ME,2018.0,BELGIUM,14
Road,ME,2018.0,ITALY,13
Road,ME,2018.0,NETHERLANDS,10
Road,ME,2018.0,FRANCE,9
Road,ME,2018.0,SPAIN,8
